CPTCode,ShortDescription
0016T,"Destruction of localized lesion of choroid (eg, choroidal neovascularization), transpupillary thermotherapy"
0017T,"Destruction of macular drusen, photocoagulation"
0026T,"Lipoprotein, direct measurement, intermediate density lipoproteins (IDL) (remnant lipoproteins)"
0027T,"Endoscopic lysis of epidural adhesions with direct visualization using mechanical means (eg, spinal endoscopic catheter system) or solution injection (eg, normal saline) including radiologic localization and epidurography"
0028T,"Dual energy x-ray absorptiometry (DEXA) body composition study, one or more sites"
0029T,"Treatment(s) for incontinence, pulsed magnetic neuromodulation, per day"
0030T,"Antiprothrombin (phospholipid cofactor) antibody, each Ig class"
0031T,Speculoscopy;
0032T,Speculoscopy; with directed sampling
0041T,"Urinalysis infectious agent detection, semi-quantitative analysis of volatile compounds"
0043T,"Carbon monoxide, expired gas analysis (eg, ETCOc/hemolysis breath test)"
0046T,"Catheter lavage of a mammary duct(s) for collection of cytology specimen(s), in high risk individuals (GAIL risk scoring or prior personal history of breast cancer), each breast; single duct"
0047T,"Catheter lavage of a mammary duct(s) for collection of cytology specimen(s), in high risk individuals (GAIL risk scoring or prior personal history of breast cancer), each breast; each additional duct"
0048T,"Implantation of a ventricular assist device, extracorporeal, percutaneous transseptal access, single or dual cannulation"
0049T,"Prolonged extracorporeal percutaneous transseptal ventricular assist device, greater than 24 hours, each subsequent 24 hour period (List separately in addition to code for primary procedure)"
0050T,"Removal of a ventricular assist device, extracorporeal, percutaneous transseptal access, single or dual cannulation"
0060T,"Electrical impedance scan of the breast, bilateral (risk assessment device for breast cancer)"
0061T,"Destruction/reduction of malignant breast tumor including breast carcinoma cells in the margins, microwave phased array thermotherapy, disposable catheter with combined temperature monitoring probe and microwave sensor, externally applied microwave energy, including interstitial placement of sensor"
0062T,"Percutaneous intradiscal annuloplasty, any method except electrothermal, unilateral or bilateral including fluoroscopic guidance; single level"
0063T,"Percutaneous intradiscal annuloplasty, any method except electrothermal, unilateral or bilateral including fluoroscopic guidance; 1 or more additional levels (List separately in addition to 0062T for primary procedure)"
0064T,"Spectroscopy, expired gas analysis (eg, nitric oxide/carbon dioxide test)"
0066T,"Computed tomographic (CT) colonography (ie, virtual colonoscopy); screening"
0067T,"Computed tomographic (CT) colonography (ie, virtual colonoscopy); diagnostic"
0068T,Acoustic heart sound recording and computer analysis; with interpretation and report
0069T,Acoustic heart sound recording and computer analysis; acoustic heart sound recording and computer analysis only
0070T,Acoustic heart sound recording and computer analysis; interpretation and report only
0077T,"Implanting and securing cerebral thermal perfusion probe, including twist drill or burr hole, to measure absolute cerebral tissue perfusion"
0084T,Insertion of a temporary prostatic urethral stent
0086T,Left ventricular filling pressure indirect measurement by computerized calibration of the arterial waveform response to Valsalva maneuver
0087T,"Sperm evaluation, Hyaluronan sperm binding test"
0088T,"Submucosal radiofrequency tissue volume reduction of tongue base, one or more sites, per session (ie, for treatment of obstructive sleep apnea syndrome)"
0089T,"Actigraphy testing, recording, analysis and interpretation (minimum of three-day recording)"
0090T,"Total disc arthroplasty (artificial disc), anterior approach, including discectomy to prepare interspace (other than for decompression) cervical; single interspace"
0093T,"Removal of total disc arthroplasty, anterior approach cervical; single interspace"
0096T,"Revision of total disc arthroplasty, anterior approach cervical; single interspace"
0104T,Inert gas rebreathing for cardiac output measurement; during rest
0105T,Inert gas rebreathing for cardiac output measurement; during exercise
0130T,"Validated, statistically reliable, randomized, controlled, single-patient clinical investigation of FDA approved chronic care drugs, provided by a pharmacist, interpretation and report to the prescribing health care professional"
0137T,"Biopsy, prostate, needle, saturation sampling for prostate mapping"
0140T,Exhaled breath condensate pH
0141T,"Pancreatic islet cell transplantation through portal vein, percutaneous"
0142T,"Pancreatic islet cell transplantation through portal vein, open"
0143T,"Laparoscopy, surgical, pancreatic islet cell transplantation through portal vein"
0144T,"Computed tomography, heart, without contrast material, including image postprocessing and quantitative evaluation of coronary calcium"
0145T,"Computed tomography, heart, with contrast material(s), including noncontrast images, if performed, cardiac gating and 3D image postprocessing; cardiac structure and morphology"
0146T,"Computed tomography, heart, with contrast material(s), including noncontrast images, if performed, cardiac gating and 3D image postprocessing; computed tomographic angiography of coronary arteries (including native and anomalous coronary arteries, coronary bypass grafts), without quantitative evaluation of coronary calcium"
0147T,"Computed tomography, heart, with contrast material(s), including noncontrast images, if performed, cardiac gating and 3D image postprocessing; computed tomographic angiography of coronary arteries (including native and anomalous coronary arteries, coronary bypass grafts), with quantitative evaluation of coronary calcium"
0148T,"Computed tomography, heart, with contrast material(s), including noncontrast images, if performed, cardiac gating and 3D image postprocessing; cardiac structure and morphology and computed tomographic angiography of coronary arteries (including native and anomalous coronary arteries, coronary bypass grafts), without quantitative evaluation of coronary calcium"
0149T,"Computed tomography, heart, with contrast material(s), including noncontrast images, if performed, cardiac gating and 3D image postprocessing; cardiac structure and morphology and computed tomographic angiography of coronary arteries (including native and anomalous coronary arteries, coronary bypass grafts), with quantitative evaluation of coronary calcium"
