HCPCSCode,ShortDescription
A4365,"Adhesive remover wipes, any type, per 50"
A6200,"Composite dressing, pad size 16 sq. in. or less, without adhesive border, each dressing"
A6201,"Composite dressing, pad size more than 16 sq. in. but less than or equal to 48 sq. in. , without adhesive border, each dressing"
A6202,"Composite dressing, pad size more than 48 sq. in. , without adhesive border, each dressing"
A6542,"Gradient compression stocking, custom made"
A6543,"Gradient compression stocking, lymphedema"
A9535,"Injection, methylene blue, 1 ml"
A9565,"Indium in-111 pentetreotide, diagnostic, per millicurie"
A9605,"Samarium sm-153 lexidronamm, therapeutic, per 50 millicuries"
B4086,"Gastrostomy / jejunostomy tube, any material, any type, (standard or low profile), each"
C1718,"Brachytherapy source, iodine 125, per source"
C1720,"Brachytherapy source, palladium 103, per source"
C2633,"Brachytherapy source, cesium-131, per source"
C9003,"Palivizumab-rsv-igm, per 50 mg"
C9232,"Injection, idursulfase, 1 mg"
C9233,"Injection, ranibizumab, 0.5 mg"
C9234,"Injection, alglucosidase alfa, 10 mg"
C9235,"Injection, panitumumab, 10 mg"
C9236,"Injection, eculizumab, 10 mg"
C9237,"Injection, lanreotide acetate, 1 mg"
C9238,"Injection, levetiracetam, 10 mg"
C9239,"Injection, temsirolimus, 1 mg"
C9240,"Injection, ixabepilone, 1 mg"
C9241,"Injection, doripenem, 10 mg"
C9242,"Injection, fosaprepitant, 1 mg"
C9243,"Injection, bendamustine hcl, 1 mg"
C9244,"Injection, regadenoson, 0.4 mg"
C9245,"Injection, romiplostim, 10 mcg"
C9246,"Injection, gadoxetate disodium, per ml"
C9247,"Iobenguane, i-123, diagnostic, per study dose, up to 10 millicuries"
C9249,"Injection, certolizumab pegol, 1 mg"
C9251,"Injection, c1 esterase inhibitor (HUMAN), 10 units"
C9252,"Injection, plerixafor, 1 mg"
C9253,"Injection, temozolomide, 1 mg"
C9255,"Injection, paliperidone palmitate, 1 mg"
C9256,"Injection, dexamethasone intravitreal implant, 0.1 mg"
C9258,"Injection, telavancin, 10 mg"
C9259,"Injection, pralatrexate, 1 mg"
C9260,"Injection, ofatumumab, 10 mg"
C9261,"Injection, ustekinumab, 1 mg"
C9262,"Fludarabine phosphate, oral, 1 mg"
C9263,"Injection, ecallantide, 1 mg"
C9264,"Injection, tocilizumab, 1 mg"
C9265,"Injection, romidepsin, 1 mg"
C9266,"Injection, collagenase clostridium histolyticum, 0.1 mg"
C9267,"Injection, von willebrand factor complex (HUMAN), wilate, per 100 iu vwf: rco"
C9268,"Capsaicin, patch, 10cm2"
C9269,"Injection, c-1 esterase inhibitor (HUMAN), berinert, 10 units"
C9270,"Injection, immune globulin (GAMMAPLEX), intravenous, non-lyophilized (e.g. liquid), 500 mg"
C9271,"Injection, velaglucerase alfa, 100 units"
C9272,"Injection, denosumab, 1 mg"
C9273,"Sipuleucel-t, minimum of 50 million autologous cd54+ cells activated with pap-gm-csf, including leukapheresis and all other preparatory procedures, per infusion"
C9274,"Crotalidae polyvalent immune fab (OVINE), 1 vial"
C9276,"Injection, cabazitaxel, 1 mg"
C9277,"Injection, alglucosidase alfa (LUMIZYME), 1 mg"
C9278,"Injection, incobotulinumtoxin a, 1 unit"
C9279,"Injection, ibuprofen, 100 mg"
C9280,"Injection, eribulin mesylate, 1 mg"
C9281,"Injection, pegloticase, 1 mg"
C9282,"Injection, ceftaroline fosamil, 10 mg"
C9283,"Injection, acetaminophen, 10 mg"
C9284,"Injection, ipilimumab, 1 mg"
C9286,"Injection, belatacept, 1 mg"
C9287,"Injection, brentuximab vedotin, 1 mg"
C9288,"Injection, centruroides (SCORPION) immune f(AB)2 (EQUINE), 1 vial"
C9289,"Injection, asparaginase erwinia chrysanthemi, 1,000 international units (I.U.)"
