ICD9Code,ShortDescription
0032,Localized salmonella infections
00324,Salmonella osteomyelitis
0065,Amebic brain abscess
0071,Giardiasis
0079,Unspecified protozoal intestinal disease
00843,Intestinal infection due to campylobacter
00867,Enteritis due to enterovirus nec
009,Ill-defined intestinal infections
01000,"Primary tuberculous infection, unspecified"
01110,"Tuberculosis of lung, nodular, unspecified"
01124,"Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01140,"Tuberculous fibrosis of lung, unspecified"
01152,"Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)"
01165,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01183,"Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01221,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done"
01236,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01285,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01301,"Tuberculous meningitis, bacteriological or histological examination not done"
01305,"Tuberculous meningitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01320,"Tuberculoma of brain, unspecified"
01324,"Tuberculoma of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
003,Other salmonella infections
004,Shigellosis
0066,Amebic skin ulceration
00847,Intestinal infection due to other gram-negative bacteria
0100,Primary tuberculous complex
01086,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01141,"Tuberculous fibrosis of lung, bacteriological or histological examination not done"
01150,"Tuberculous bronchiectasis, unspecified"
0116,Tuberculous pneumonia (any form)
0120,Tuberculous pleurisy
01234,"Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01280,"Other specified respiratory tuberculosis, unspecified"
01393,"Unspecified tuberculosis of central nervous system, tubercle bacilli found (in sputum) by microscopy"
015,Tuberculosis of bones and joints
01503,"Tuberculosis of vertebral column, tubercle bacilli found (in sputum) by microscopy"
01506,"Tuberculosis of vertebral column, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01524,"Tuberculosis of knee, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01590,"Tuberculosis of unspecified bones and joints, unspecified"
01601,"Tuberculosis of kidney, bacteriological or histological examination not done"
01624,"Tuberculosis of ureter, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01765,"Tuberculosis of adrenal glands, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01771,"Tuberculosis of spleen, bacteriological or histological examination not done"
01775,"Tuberculosis of spleen, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01893,"Miliary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy"
01894,"Miliary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
0042,Shigella boydii
008,Intestinal infections due to other organisms
0085,"Bacterial enteritis, unspecified"
0101,Tuberculous pleurisy in primary progressive tuberculosis
01085,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01134,"Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture"
01145,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01180,"Other specified pulmonary tuberculosis, unspecified"
01191,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done"
