ICD9Code,ShortDescription
00,Procedures and interventions not elsewhere classified
0021,Intravascular imaging of extracranial cerebral vessels
0028,"Intravascular imaging, other specified vessel(s)"
0029,"Intravascular imaging, unspecified vessel(s)"
0040,Procedure on single vessel
0051,"Implantation of cardiac resynchronization defibrillator, total system [CRT-D]"
0061,Percutaneous angioplasty of extracranial vessel(s)
0063,Percutaneous insertion of carotid artery stent(s)
0070,"Revision of hip replacement, both acetabular and femoral components"
0072,"Revision of hip replacement, femoral component"
0085,"Resurfacing hip, total, acetabulum and femoral head"
0114,Open biopsy of brain
0118,Other diagnostic procedures on brain and cerebral meninges
0126,Insertion of catheter(s) into cranial cavity or tissue
0014,Injection or infusion of oxazolidinone class of antibiotics
0031,Computer assisted surgery with ct/cta
0044,Procedure on vessel bifurcation
0054,Implantation or replacement of cardiac resynchronization defibrillator pulse generator only [CRT-D]
0069,"Intravascular pressure measurement, other specified and unspecified vessels"
0075,"Hip bearing surface, metal-on-metal"
0083,"Revision of knee replacement, patellar component"
0101,Cisternal puncture
0127,Removal of catheter(s) from cranial cavity or tissue
0214,Choroid plexectomy
0015,High-dose infusion interleukin-2 [IL-2]
0016,Pressurized treatment of venous bypass graft [CONDUIT] with pharmaceutical substance
0033,Computer assisted surgery with fluoroscopy
007,Other hip procedures
0076,"Hip bearing surface, ceramic-on-ceramic"
0141,Operations on thalamus
0231,Ventricular shunt to structure in head and neck
001,Pharmaceuticals
0049,Supersaturated oxygen therapy
0111,Closed [PERCUTANEOUS] [NEEDLE] biopsy of cerebral meninges
0116,Intracranial oxygen monitoring
0129,Removal of cranial neurostimulator pulse generator
015,Other excision or destruction of brain and meninges
0002,Therapeutic ultrasound of heart
0011,Infusion of drotrecogin alfa (ACTIVATED)
0013,Injection or infusion of nesiritide
002,Intravascular imaging of blood vessels
0032,Computer assisted surgery with mr/mra
0045,Insertion of one vascular stent
0067,Intravascular pressure measurement of intrathoracic arteries
0080,"Revision of knee replacement, total (all components)"
0087,"Resurfacing hip, partial, acetabulum"
0119,Other diagnostic procedures on skull
0122,Removal of intracranial neurostimulator lead(s)
0123,Reopening of craniotomy site
0124,Other craniotomy
021,Repair of cerebral meninges
0213,Ligation of meningeal vessel
023,Extracranial ventricular shunt
033,Diagnostic procedures on spinal cord and spinal canal structures
0372,Spinal subarachnoid-ureteral shunt
0222,Intracranial ventricular shunt or anastomosis
0233,Ventricular shunt to thoracic cavity
030,Exploration and decompression of spinal canal structures
0332,Biopsy of spinal cord or spinal meninges
034,Excision or destruction of lesion of spinal cord or spinal meninges
0489,"Injection of other agent, except neurolytic"
0492,Implantation or replacement of peripheral neurostimulator lead(s)
066,Excision of lingual thyroid
0689,Other parathyroidectomy
0717,Biopsy of pineal gland
0791,Exploration of thymus field
0302,Reopening of laminectomy site
0394,Removal of spinal neurostimulator lead(s)
0519,Other diagnostic procedures on sympathetic nerves or ganglia
0522,Cervical sympathectomy
0639,Other partial thyroidectomy
071,"""diagnostic procedures on adrenal glands, pituitary gland, pineal gland, and thymus"""
0722,Unilateral adrenalectomy
0752,Incision of pineal gland
0753,Partial excision of pineal gland
0779,Other operations on hypophysis
036,Lysis of adhesions of spinal cord and nerve roots
02,"""other operations on skull, brain, and cerebral meninges"""
022,Ventriculostomy
0299,"Other operations on skull, brain, and cerebral meninges"
031,Division of intraspinal nerve root
0359,Other repair and plastic operations on spinal cord structures
0473,Accessory-hypoglossal anastomosis
0476,Repair of old traumatic injury of cranial and peripheral nerves
0609,Other incision of thyroid field
0392,Injection of other agent into spinal canal
0419,Other diagnostic procedures on cranial and peripheral nerves and ganglia
0511,Biopsy of sympathetic nerve or ganglion
0601,Aspiration of thyroid field
0631,Excision of lesion of thyroid
0652,Complete substernal thyroidectomy
0691,Division of thyroid isthmus
0694,Thyroid tissue reimplantation
0719,"Other diagnostic procedures on adrenal glands, pituitary gland, pineal gland, and thymus"
0772,Incision of pituitary gland
0811,Biopsy of eyelid
0834,Repair of blepharoptosis by other levator muscle techniques
095,Incision of lacrimal sac and passages
091,Diagnostic procedures on lacrimal system
0959,Other incision of lacrimal passages
098,Fistulization of lacrimal tract to nasal cavity
0999,Other operations on lacrimal system
1021,Biopsy of conjunctiva
1141,Mechanical removal of corneal epithelium
1211,Iridotomy with transfixion
1241,"Destruction of lesion of iris, nonexcisional"
1269,Other scleral fistulizing procedure
1272,Cyclocryotherapy
1400,"Removal of foreign body from posterior segment of eye, not otherwise specified"
141,"""diagnostic procedures on retina, choroid, vitreous, and posterior chamber"""
0397,Revision of spinal thecal shunt
0529,Other sympathectomy and ganglionectomy
0531,Injection of anesthetic into sympathetic nerve for analgesia
0613,Biopsy of parathyroid gland
07,Operations on other endocrine glands
0702,Bilateral exploration of adrenal field
0754,Total excision of pineal gland
076,Hypophysectomy
0765,"Total excision of pituitary gland, transsphenoidal approach"
0784,Thoracoscopic total excision of thymus
079,Other operations on thymus
0762,"Partial excision of pituitary gland, transsphenoidal approach"
0794,Transplantation of thymus
0802,Severing of blepharorrhaphy
0842,Repair of entropion or ectropion by suture technique
0864,Reconstruction of eyelid with tarsoconjunctival flap
0869,Other reconstruction of eyelid with flaps or grafts
088,Other repair of eyelid
0887,Upper eyelid rhytidectomy
093,Other operations on lacrimal gland
0941,Probing of lacrimal punctum
0952,Incision of lacrimal canaliculi
103,Excision or destruction of lesion or tissue of conjunctiva
1044,Other free graft to conjunctiva
105,Lysis of adhesions of conjunctiva and eyelid
1099,Other operations on conjunctiva
1164,Other penetrating keratoplasty
1172,Keratophakia
0798,Other and unspecified thoracoscopic operations on thymus
0809,Other incision of eyelid
0819,Other diagnostic procedures on eyelid
0891,Electrosurgical epilation of eyelid
0912,Biopsy of lacrimal sac
0953,Incision of lacrimal sac
1122,Biopsy of cornea
1159,Other repair of cornea
1161,Lamellar keratoplasty with autograft
12,"""operations on iris, ciliary body, sclera, and anterior chamber"""
1242,Excision of lesion of iris
126,Scleral fistulization
1264,Trabeculectomy ab externo
1283,"Revision of operative wound of anterior segment, not elsewhere classified"
1287,Scleral reinforcement with graft
1302,Removal of foreign body from lens without use of magnet
0982,Conjunctivocystorhinostomy
11,Operations on cornea
1131,Transposition of pterygium
1201,Removal of intraocular foreign body from anterior segment of eye with use of magnet
121,Iridotomy and simple iridectomy
1239,Other iridoplasty
1254,Trabeculotomy ab externo
1261,Trephination of sclera with iridectomy
1262,Thermocauterization of sclera with iridectomy
1267,Insertion of aqueous drainage device
1291,Therapeutic evacuation of anterior chamber
135,Other extracapsular extraction of lens
1371,"Insertion of intraocular lens prosthesis at time of cataract extraction, one-stage"
1441,Scleral buckling with implant
1474,Other mechanical vitrectomy
1475,Injection of vitreous substitute
1522,Shortening procedure on one extraocular muscle
1661,Secondary insertion of ocular implant
1801,Piercing of ear lobe
1921,Revision of stapedectomy with incus replacement
20,Other operations on middle and inner ear
1311,Intracapsular extraction of lens by temporal inferior route
14,"""operations on retina, choroid, vitreous, and posterior chamber"""
1455,Repair of retinal detachment with photocoagulation of unspecified type
1471,"Removal of vitreous, anterior approach"
1472,Other removal of vitreous
1479,Other operations on vitreous
1512,Advancement of one extraocular muscle
1659,Other exenteration of orbit
1669,Other secondary procedures after removal of eyeball
167,Removal of ocular or orbital implant
1756,Atherectomy of other non-coronary vessel(s)
1809,Other incision of external ear
200,Myringotomy
